family,j,seed,gamma_z,gamma_z1,board,label,mechanism_description,outside_density,predictor,auc,D,logloss,logloss_margin_over_N1,precision_at_32,ceiling_full,ceiling_block,regrown_share_full,regrown_share_block,M_real,n_ge,n_shuffles,n_deg,n_valid_shuffles,p_S,p_P,p_P_rowcol,lambda_ko,lambda_full,lambda_block,auc_other_59,auc_fixed_lambda1,p_P_fixed_lambda1
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,BF_4,1.0,2.4105113404969445,0.3135992833600635,0.4450516193186421,1.0,1.0,1.0,1.0,1.0,0.4892578125,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.986328125,0.0001
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,N1,0.5107421875,0.0,0.7586509026787056,0.0,0.5,0.5087890625,0.5,1.2222222222222223,,0.0,99,99,0,99,1.0,0.4484,0.1248,,,,0.5011574074074074,,
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,rule #2.1,1.0,3.308457905065584,0.29128721707195526,0.4811464008998836,1.0,1.0,1.0,1.0,1.0,0.46484375,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,BF_1,1.0,2.972886549383626,0.27998997820287197,0.4924436397689669,1.0,1.0,1.0,1.0,1.0,0.46484375,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,BF_2,0.9912109375,2.224038392822521,0.3615818910131238,0.410851726958715,0.9375,1.0,1.0,0.982421875,0.982421875,0.4560546875,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,0.9895833333333334,0.994140625,0.0001
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,BF_3,0.9892578125,2.2360694729721637,0.358954767927052,0.41347885004478685,0.90625,1.0,1.0,0.978515625,0.978515625,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,0.9872685185185185,0.974609375,0.0001
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,BF_4,0.982421875,2.156588491314499,0.37401619450902374,0.3984174234628151,0.90625,1.0,1.0,0.96484375,0.96484375,0.447265625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,0.9791666666666666,0.9658203125,0.0001
R,2,90102,2.0,0.0,z,R,,0.24465272770968516,N1,0.53515625,0.0,0.7724336179718388,0.0,0.53125,0.5390625,0.5,0.9,,0.0,99,99,0,99,1.0,0.317,0.0432,,,,0.5271990740740741,,
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,rule #2.1,1.0,3.9940720780591077,0.19759338929218861,0.5298870266520894,1.0,1.0,1.0,1.0,1.0,0.501953125,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,BF_1,1.0,3.5245327288552066,0.19336107505028383,0.5341193408939942,1.0,1.0,1.0,1.0,1.0,0.501953125,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,BF_2,1.0,2.488269442468706,0.29122711128792966,0.4362533046563484,1.0,1.0,1.0,1.0,1.0,0.501953125,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,1.0,0.0001
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,BF_3,1.0,2.4474000712363075,0.2967775606598447,0.43070285528443336,1.0,1.0,1.0,1.0,1.0,0.501953125,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.9990234375,0.0001
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,BF_4,0.9990234375,2.491982839867545,0.29251379692696233,0.4349666190173157,0.96875,1.0,1.0,0.998046875,0.998046875,0.5009765625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,0.9988425925925926,0.994140625,0.0001
R,3,90103,2.0,0.0,z,R,,0.2420091324200913,N1,0.498046875,0.0,0.727480415944278,0.0,0.5,0.501953125,0.5,-1.0,,0.0,99,99,0,99,1.0,0.5186,0.5704,,,,0.4982638888888889,,
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,rule #2.1,1.0,3.203503445732281,0.24602703197575998,0.4762962597792291,1.0,1.0,1.0,1.0,1.0,0.4921875,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,BF_1,1.0,2.8313074322702305,0.2437883956821058,0.4785348960728833,1.0,1.0,1.0,1.0,1.0,0.4921875,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,BF_2,1.0,2.381307069278365,0.29703888238132137,0.42528440937366774,1.0,1.0,1.0,1.0,1.0,0.4921875,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.986328125,0.0001
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,BF_3,1.0,2.394530946245859,0.2984184778416194,0.4239048139133697,1.0,1.0,1.0,1.0,1.0,0.4921875,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.9853515625,0.0001
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,BF_4,1.0,2.4120323333397113,0.3011774962064686,0.4211457955485205,1.0,1.0,1.0,1.0,1.0,0.4921875,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.9775390625,0.0001
R,4,90104,2.0,0.0,z,R,,0.25306416726748376,N1,0.5078125,-5.551115123125783e-17,0.7223232917549891,0.0,0.53125,0.509765625,0.5,0.8,,0.0,99,99,0,99,1.0,0.4518,0.3303,,,,0.5109953703703703,,
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,rule #2.1,0.5048828125,0.0,0.8132084628735545,0.000961413384992893,0.53125,0.5087890625,1.0,0.5555555555555556,0.009765625,-0.0029296875,58,99,0,99,0.59,0.4779,0.3719,100.0,100.0,1.0,0.5179398148148148,0.5078125,0.464
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,BF_1,0.5078125,0.0,0.8141698762585474,0.0,0.5,0.5068359375,1.0,1.1428571428571428,0.015625,0.0,97,99,0,99,0.98,0.4626,0.3004,100.0,100.0,1.0,0.5225694444444444,0.5029296875,0.4908
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,BF_2,0.5078125,0.0,0.8141698762585474,0.0,0.5,0.5068359375,1.0,1.1428571428571428,0.015625,0.0,98,99,0,99,0.99,0.4626,0.3004,100.0,100.0,1.0,0.5225694444444444,0.484375,0.5893
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,BF_3,0.5078125,0.0,0.8141698762585474,0.0,0.5,0.5068359375,1.0,1.1428571428571428,0.015625,0.0,99,99,0,99,1.0,0.4626,0.3004,100.0,100.0,1.0,0.5225694444444444,0.494140625,0.5429
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,BF_4,0.5078125,0.0,0.8141698762585474,0.0,0.5,0.5068359375,1.0,1.1428571428571428,0.015625,0.0,99,99,0,99,1.0,0.4626,0.3004,100.0,100.0,1.0,0.5225694444444444,0.4736328125,0.6434
Nf,0,90110,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5088 < 0.90),0.14251381879355923,N1,0.5078125,0.0,0.8141698762585474,0.0,0.5,0.5068359375,0.5,1.1428571428571428,,0.0,99,99,0,99,1.0,0.4626,0.3004,,,,0.5225694444444444,,
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,rule #2.1,0.5361328125,1.1102230246251565e-16,0.7973018943714884,0.004871951941221808,0.5625,0.55126953125,1.0,0.7047619047619048,0.072265625,-0.0126953125,85,99,0,99,0.86,0.3093,0.0207,100.0,100.0,1.0,0.5057870370370371,0.5146484375,0.4212
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,BF_1,0.548828125,0.0,0.8021738463127102,0.0,0.5625,0.556640625,1.0,0.8620689655172413,0.09765625,0.0,95,99,0,99,0.96,0.2504,0.0025,100.0,100.0,1.0,0.5254629629629629,0.5107421875,0.4524
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,BF_2,0.548828125,0.0,0.8021738463127102,0.0,0.5625,0.556640625,1.0,0.8620689655172413,0.09765625,0.0,98,99,0,99,0.99,0.2504,0.0025,100.0,100.0,1.0,0.5254629629629629,0.4921875,0.5484
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,BF_3,0.548828125,0.0,0.8021738463127102,0.0,0.5625,0.556640625,1.0,0.8620689655172413,0.09765625,0.0,99,99,0,99,1.0,0.2504,0.0025,100.0,100.0,1.0,0.5254629629629629,0.4833984375,0.5977
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,BF_4,0.548828125,0.0,0.8021738463127102,0.0,0.5625,0.556640625,1.0,0.8620689655172413,0.09765625,0.0,99,99,0,99,1.0,0.2504,0.0025,100.0,100.0,1.0,0.5254629629629629,0.474609375,0.6434
Nf,1,90111,0.0,0.0,z,G,orthogonal (rule #2.1's ceiling_full = 0.5513 < 0.90),0.13410237923576063,N1,0.548828125,0.0,0.8021738463127102,0.0,0.5625,0.556640625,0.5,0.8620689655172413,,0.0,99,99,0,99,1.0,0.2504,0.0025,,,,0.5254629629629629,,
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,rule #2.1,0.5068359375,0.0,0.9765746168477987,0.003472604678336433,0.5625,0.9560546875,1.0,0.014989293361884369,0.013671875,0.0029296875,31,99,0,99,0.32,0.4636,0.3011,100.0,3.0,1.0,0.49537037037037035,0.59326171875,0.1021
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,BF_1,0.50390625,0.0,0.9800472215261351,0.0,0.53125,0.955078125,1.0,0.008583690987124463,0.0078125,0.0,98,99,0,99,0.99,0.4816,0.3787,100.0,3.0,1.0,0.4965277777777778,0.599609375,0.0895
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,BF_2,0.5556640625,0.15432573515290016,0.9330972154061552,0.046950006119979903,0.5625,0.9384765625,1.0,0.12694877505567928,0.111328125,0.0517578125,0,99,0,99,0.01,0.2252,0.0576,3.0,3.0,1.0,0.5578703703703703,0.5888671875,0.1143
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,BF_3,0.50390625,0.0,0.9800472215261351,0.0,0.53125,0.9580078125,1.0,0.008528784648187633,0.0078125,0.0,99,99,0,99,1.0,0.4816,0.3787,100.0,3.0,1.0,0.4965277777777778,0.5859375,0.1231
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,BF_4,0.50390625,0.0,0.9800472215261351,0.0,0.53125,0.9736328125,1.0,0.008247422680412371,0.0078125,0.0,99,99,0,99,1.0,0.4816,0.3787,100.0,3.0,1.0,0.4965277777777778,0.564453125,0.1854
Nf,2,90112,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9561 >= 0.90),0.12424897861091083,N1,0.50390625,0.0,0.9800472215261351,0.0,0.53125,0.4921875,0.5,,,0.0,99,99,0,99,1.0,0.4816,0.3787,,,,0.4965277777777778,,
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,rule #2.1,0.501953125,0.0,0.899402261312846,0.0019330265154745563,0.5625,1.0,1.0,0.00390625,0.00390625,-0.0009765625,44,99,0,99,0.45,0.4915,0.4418,100.0,3.0,1.0,0.4994212962962963,0.623046875,0.045
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,BF_1,0.5029296875,0.0,0.9013352878283205,0.0,0.5625,1.0,1.0,0.005859375,0.005859375,0.0,97,99,0,99,0.98,0.4863,0.4121,100.0,3.0,1.0,0.5,0.634765625,0.0332
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,BF_2,0.5029296875,0.0,0.9013352878283205,0.0,0.5625,1.0,1.0,0.005859375,0.005859375,0.0,99,99,0,99,1.0,0.4863,0.4121,100.0,3.0,1.0,0.5,0.646484375,0.0219
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,BF_3,0.5029296875,0.0,0.9013352878283205,0.0,0.5625,1.0,1.0,0.005859375,0.005859375,0.0,99,99,0,99,1.0,0.4863,0.4121,100.0,3.0,1.0,0.5,0.5673828125,0.1817
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,BF_4,0.5029296875,0.0,0.9013352878283205,0.0,0.5625,1.0,1.0,0.005859375,0.005859375,0.0,99,99,0,99,1.0,0.4863,0.4121,100.0,3.0,1.0,0.5,0.4326171875,0.8239
Nf,3,90113,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 1.0000 >= 0.90),0.1391492429704398,N1,0.5029296875,0.0,0.9013352878283205,0.0,0.5625,0.498046875,0.5,,,0.0,99,99,0,99,1.0,0.4863,0.4121,,,,0.5,,
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,rule #2.1,0.5166015625,0.0,0.905845367152472,0.01098717695347351,0.53125,0.935546875,1.0,0.03811659192825112,0.033203125,-0.005859375,68,99,0,99,0.69,0.4156,0.1724,100.0,3.0,1.0,0.5196759259259259,0.509765625,0.451
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,BF_1,0.5224609375,0.0,0.9168325441059455,0.0,0.53125,0.9345703125,1.0,0.051685393258426963,0.044921875,0.0,97,99,0,99,0.98,0.386,0.1084,100.0,3.0,1.0,0.5231481481481481,0.501953125,0.4942
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,BF_2,0.5224609375,0.0,0.9168325441059455,0.0,0.53125,0.517578125,1.0,1.2777777777777777,0.044921875,0.0,98,99,0,99,0.99,0.386,0.1084,100.0,100.0,1.0,0.5231481481481481,0.4921875,0.5434
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,BF_3,0.5224609375,0.0,0.9168325441059455,0.0,0.53125,0.517578125,1.0,1.2777777777777777,0.044921875,0.0,97,99,0,99,0.98,0.386,0.1084,100.0,100.0,1.0,0.5231481481481481,0.5166015625,0.4145
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,BF_4,0.5224609375,0.0,0.9168325441059455,0.0,0.53125,0.517578125,1.0,1.2777777777777777,0.044921875,0.0,98,99,0,99,0.99,0.386,0.1084,100.0,100.0,1.0,0.5231481481481481,0.537109375,0.3056
Nf,4,90114,0.0,0.0,z,G,no information (rule #2.1's ceiling_full = 0.9355 >= 0.90),0.1422734919490507,N1,0.5224609375,0.0,0.9168325441059455,0.0,0.53125,0.517578125,0.5,1.2777777777777777,,0.0,99,99,0,99,1.0,0.386,0.1084,,,,0.5231481481481481,,
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,rule #2.1,0.4990234375,0.02032830491131299,1.1422016503843895,-0.4224289503596005,0.5,0.48828125,1.0,,-0.001953125,-0.0078125,83,99,0,99,0.84,0.5082,0.5028,1.0,1.0,1.0,0.5114942528735632,0.4990234375,0.5082
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,BF_1,0.4990234375,0.014411443267389856,1.0441013933942094,-0.3243286933694204,0.5,0.5009765625,1.0,-1.0,-0.001953125,-0.0078125,99,99,0,99,1.0,0.51,0.5041,1.0,1.0,1.0,0.5126436781609195,0.4990234375,0.51
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,BF_2,0.4833984375,0.0028078076676109065,0.9244457545339316,-0.20467305450914264,0.5,0.9541015625,1.0,-0.03655913978494624,-0.033203125,-0.0234375,99,99,0,99,1.0,0.5895,0.5867,3.0,3.0,1.0,0.4954022988505747,0.4814453125,0.6043
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,BF_3,0.4794921875,-0.018101106148073864,0.9299500516964354,-0.21017735167164642,0.5,0.9560546875,1.0,-0.044967880085653104,-0.041015625,-0.02734375,99,99,0,99,1.0,0.6107,0.6049,3.0,3.0,1.0,0.4896551724137931,0.484375,0.5879
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,BF_4,0.5126953125,0.006863073678682385,0.927972830064728,-0.20820013003993898,0.5,0.9580078125,1.0,0.02771855010660981,0.025390625,0.005859375,0,99,0,99,0.01,0.4351,0.4354,3.0,3.0,1.0,0.5149425287356322,0.4814453125,0.6071
No,0,90120,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4883 < 0.90),0.23720259552992068,N1,0.5068359375,0.0,0.719772700024789,0.0,0.5,0.5068359375,0.5,1.0,,0.0,99,99,0,99,1.0,0.4661,0.3621,,,,0.5252873563218391,,
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,rule #2.1,0.49609375,-0.0004560379702684969,1.1067282217794934,-0.3620097122065795,0.5,0.49658203125,1.0,,-0.0078125,0.0,53,99,0,99,0.54,0.522,0.5278,1.0,1.0,1.0,0.5045977011494253,0.49609375,0.522
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,BF_1,0.5,-0.0009575804944965682,1.0017682045026164,-0.25704969492970253,0.5,0.49609375,1.0,,0.0,0.00390625,2,99,0,99,0.03,0.5028,0.5059,1.0,1.0,1.0,0.5080459770114942,0.5,0.5028
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,BF_2,0.5009765625,-0.00017227644277184595,0.9092084170612571,-0.16448990748834325,0.5,0.8837890625,1.0,0.002544529262086514,0.001953125,0.0048828125,0,99,0,99,0.01,0.4959,0.5011,3.0,3.0,1.0,0.5114942528735632,0.5048828125,0.4773
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,BF_3,0.5009765625,0.0025067682849485573,0.9031132646293779,-0.15839475505646405,0.5,0.900390625,1.0,0.0024390243902439024,0.001953125,0.0048828125,0,99,0,99,0.01,0.4968,0.5062,3.0,3.0,1.0,0.5091954022988506,0.501953125,0.491
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,BF_4,0.5126953125,0.024194395941733393,0.888745747664595,-0.14402723809168116,0.53125,0.92578125,1.0,0.02981651376146789,0.025390625,0.0166015625,0,99,0,99,0.01,0.4315,0.4391,3.0,3.0,1.0,0.5195402298850574,0.521484375,0.3852
No,1,90121,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4966 < 0.90),0.2427301129536169,N1,0.49609375,0.0,0.7447185095729139,0.0,0.5,0.4912109375,0.5,,,0.0,99,99,0,99,1.0,0.5134,0.626,,,,0.4908045977011494,,
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,rule #2.1,0.498046875,-0.13571331185311486,1.244854079439452,-0.513501427049243,0.5,0.501953125,1.0,-1.0,-0.00390625,0.01171875,24,99,0,99,0.25,0.5141,0.5191,1.0,1.0,1.0,0.5189655172413793,0.498046875,0.5141
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,BF_1,0.505859375,-0.14302911370262156,1.143919285582483,-0.4125666331922738,0.5,0.509765625,1.0,0.6,0.01171875,0.01953125,0,99,0,99,0.01,0.4717,0.4799,1.0,1.0,1.0,0.5241379310344828,0.505859375,0.4717
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,BF_2,0.4755859375,-0.10300241796524778,0.9791235348313808,-0.24777088244117174,0.5,0.837890625,1.0,-0.07225433526011561,-0.048828125,-0.0107421875,99,99,0,99,1.0,0.6371,0.6238,3.0,3.0,1.0,0.49310344827586206,0.4814453125,0.6041
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,BF_3,0.46875,-0.14670066692768968,0.9786054542024398,-0.24725280181223075,0.53125,0.90234375,1.0,-0.07766990291262135,-0.0625,-0.017578125,99,99,0,99,1.0,0.6736,0.6548,3.0,3.0,1.0,0.496551724137931,0.451171875,0.7525
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,BF_4,0.4697265625,-0.10486877797880623,0.9680583829649562,-0.2367057305747471,0.53125,0.93359375,1.0,-0.06981981981981981,-0.060546875,-0.0166015625,99,99,0,99,1.0,0.6669,0.6504,3.0,3.0,1.0,0.4954022988505747,0.482421875,0.5999
No,2,90122,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.5020 < 0.90),0.24993991828887285,N1,0.486328125,0.0,0.7313526523902091,0.0,0.5,0.4892578125,0.5,,,0.0,99,99,0,99,1.0,0.5752,0.7862,,,,0.4942528735632184,,
No,3,90123,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4902 < 0.90),0.24056717135304012,rule #2.1,0.4755859375,0.005426749617195359,1.0538664367121537,-0.2959221921717945,0.5,0.490234375,1.0,,-0.048828125,0.01953125,3,99,0,99,0.04,0.629,0.6386,1.0,1.0,1.0,0.4942528735632184,0.4755859375,0.629
No,3,90123,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4902 < 0.90),0.24056717135304012,BF_1,0.4775390625,0.0024276243051314372,0.9542952798129064,-0.19635103527254716,0.5,0.4853515625,1.0,,-0.044921875,0.021484375,1,99,0,99,0.02,0.6198,0.6325,1.0,1.0,1.0,0.49770114942528737,0.4775390625,0.6198
No,3,90123,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4902 < 0.90),0.24056717135304012,BF_2,0.49609375,0.00028585459742547226,0.8904364872943005,-0.13249224275394123,0.5,0.90234375,1.0,-0.009708737864077669,-0.0078125,0.0400390625,0,99,0,99,0.01,0.5226,0.5258,3.0,3.0,1.0,0.5229885057471264,0.5029296875,0.4873
No,3,90123,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4902 < 0.90),0.24056717135304012,BF_3,0.4775390625,-0.07374110314334126,0.911835519589716,-0.15389127504935673,0.5,0.9228515625,1.0,-0.053117782909930716,-0.044921875,0.021484375,0,99,0,99,0.01,0.6196,0.6236,3.0,3.0,1.0,0.503448275862069,0.47265625,0.6491
No,3,90123,2.0,0.0,z',G,orthogonal (rule #2.1's ceiling_full = 0.4902 < 0.90),0.24056717135304012,BF_4,0.4716796875,-0.09185700351570003,0.916774373070011,-0.15883012852965173,0.5,0.9306640625,1.0,-0.06575963718820861,-0.056640625,0.015625,0,99,0,99,0.01,0.6538,0.6527,3.0,3.0,1.0,0.49770114942528737,0.4814453125,0.6033
