PREVIEW DIAGNOSTIC -- NOT A TEST
scope,source,field,kind,shape,n_distinct,value_set,note,polarity_like,why
"per-edge-instance","h5:edges","dv","int32","(1513231,)",12,"[-1, -2, -3, -4, -5, 0, 1, 2, 3, 4, 5, 6]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","n_syn","float32","(1513231,)",758,"758 distinct, e.g. [0.04470938816666603, 0.05365126579999924, 0.059612520039081573, 0.06309147924184799, 0.0670640841126442]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","n_syn_certainty","float32","(1513231,)",524,"524 distinct, e.g. [0.7071067690849304, 0.7741749882698059, 0.8466664552688599, 0.8499370217323303, 0.8508516550064087]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","sign","float32","(1513231,)",2,"[-1.0, 1.0]","",False,"per-EDGE quantity; alpha/sign is the excitatory/inhibitory sign of a source type's synapses -- explicitly NOT ON/OFF polarity"
"per-edge-instance","h5:edges","source_index","int64","(1513231,)",44177,"44177 distinct, e.g. [0, 1, 10, 100, 1000]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","source_type","|S8","(1513231,)",63,"63 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","source_u","int32","(1513231,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","source_v","int32","(1513231,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","target_index","int64","(1513231,)",45590,"45590 distinct, e.g. [0, 1, 10, 100, 1000]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","target_type","|S8","(1513231,)",65,"65 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","target_u","int32","(1513231,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"per-edge, not per-type"
"per-edge-instance","h5:edges","target_v","int32","(1513231,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"per-edge, not per-type"
"per-type","h5:root","central_cells_index","int64","(65,)",65,"65 distinct, e.g. [10700, 1081, 11421, 12142, 12863]","",False,"one node index per type -- an index, not a label"
"per-type","h5:root","input_cell_types","|S2","(8,)",8,"['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8']","",False,"8 names"
"per-type","h5:root","intermediate_cell_types","|S8","(23,)",23,"23 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"23 names"
"per-type","h5:root","layout","|S12","(65, 2)",68,"68 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"retina/intermediate/output -- built in connectome.py:196-221 from input_units/output_units; anatomical stage, not ON/OFF"
"per-type","h5:root","output_cell_types","|S5","(34,)",34,"34 distinct, e.g. ['T1', 'T2', 'T2a', 'T3', 'T4a']","",False,"34 names"
"per-type","h5:root","unique_cell_types","|S8","(65,)",65,"65 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"the 65 names"
